"","neighborhood","building_class_category","tax_class_at_present","building_class_at_present","residential_units","commercial_units","total_units","land_square_feet","gross_square_feet","year_built","tax_class_at_time_of_sale","building_class_at_time_of_sale","sale_price","sale_date","latitude","longitude"
"935","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1502400,2022-09-29,40.71674,-74.0161
"936","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1217500,2022-09-08,40.71674,-74.0161
"937","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",740520,2022-08-31,40.71674,-74.0161
"938","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1443200,2022-09-06,40.71674,-74.0161
"939","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",2269080,2022-09-09,40.71674,-74.0161
"940","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1285000,2022-10-03,40.71674,-74.0161
"941","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1150000,2022-08-23,40.71674,-74.0161
"942","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",2391840,2022-09-12,40.71674,-74.0161
"943","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1394800,2022-09-21,40.71674,-74.0161
"944","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",905000,2022-10-06,40.71674,-74.0161
"945","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",822000,2022-09-22,40.71674,-74.0161
"946","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1436400,2022-09-12,40.71674,-74.0161
"947","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1210000,2022-09-12,40.71674,-74.0161
"948","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1425000,2022-08-31,40.71674,-74.0161
"949","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1036800,2022-08-24,40.71674,-74.0161
"950","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1285000,2022-09-12,40.71674,-74.0161
"951","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1170000,2022-08-22,40.71674,-74.0161
"952","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1225000,2022-09-21,40.71674,-74.0161
"953","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",2210000,2022-09-13,40.71674,-74.0161
"954","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",1211760,2022-10-11,40.71674,-74.0161
"955","TRIBECA","08 RENTALS - ELEVATOR APARTMENTS","2","D8",293,1,294,16652,356786,2002,"2","D8",2482920,2022-09-21,40.71674,-74.0161
"956","TRIBECA","14 RENTALS - 4-10 UNIT","2A","S4",4,1,5,2490,13280,1915,"2","S4",5500000,2022-10-20,40.71927,-74.00355
"957","TRIBECA","21 OFFICE BUILDINGS","4","O9",4,1,5,1905,9125,1915,"4","O9",2330000,2022-01-27,40.71589,-74.00961
"958","TRIBECA","22 STORE BUILDINGS","4","K4",10,4,14,5054,18681,1935,"4","K4",36100000,2021-12-17,40.71501,-74.00981
"959","TRIBECA","22 STORE BUILDINGS","4","K4",6,2,8,4426,19749,1935,"4","K4",36100000,2021-12-17,40.71501,-74.00981
"960","TRIBECA","22 STORE BUILDINGS","4","K4",4,2,6,2509,11209,1935,"4","K4",36100000,2021-12-17,40.71501,-74.00981
"961","TRIBECA","22 STORE BUILDINGS","4","K4",4,1,5,1906,10800,1915,"4","K4",6200000,2022-04-13,40.71586,-74.0095
"962","TRIBECA","22 STORE BUILDINGS","4","K4",5,1,6,2513,12500,1915,"4","K4",2548500,2022-03-22,40.71878,-74.00415
"963","TRIBECA","22 STORE BUILDINGS","4","K1",0,1,1,1337,1338,1920,"4","K1",3300000,2022-07-20,40.72,-74.00351
"964","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,2499,12347,1910,"1","A4",4.8e+07,2022-09-12,40.76569,-73.971
"965","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,2510,10724,1910,"1","A4",5.6e+07,2022-01-24,40.76619,-73.97045
"966","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,2410,14256,1915,"1","A4",21425000,2022-06-30,40.7686,-73.96816
"967","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS","1","A7",1,0,1,2209,10379,1910,"1","A7",52750000,2022-10-17,40.76884,-73.96682
